Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
989226,"113.573007,22.92603",东莞,0,0,0
990840,"113.568119,22.930529",东莞,192,401,127
992455,"113.568119,22.935029",东莞,0,0,0
990841,"113.573007,22.930529",东莞,0,0,0
992456,"113.573007,22.935029",东莞,0,0,0
956929,"113.587672,22.836037",东莞,0,0,0
952087,"113.602336,22.822538",东莞,0,0,0
953701,"113.597448,22.827037",东莞,0,0,0
955315,"113.59256,22.831537",东莞,0,0,0
956930,"113.59256,22.836037",东莞,0,0,0
955316,"113.597448,22.831537",东莞,0,0,0
956931,"113.597448,22.836037",东莞,0,0,0
953702,"113.602336,22.827037",东莞,0,0,0
955317,"113.602336,22.831537",东莞,0,0,0
956932,"113.602336,22.836037",东莞,0,0,0
961772,"113.577895,22.849536",东莞,0,0,0
963387,"113.577895,22.854035",东莞,0,0,0
958543,"113.582784,22.840536",东莞,0,0,0
960158,"113.582784,22.845036",东莞,0,0,0
958544,"113.587672,22.840536",东莞,0,0,0
960159,"113.587672,22.845036",东莞,1697,1418,686
961773,"113.582784,22.849536",东莞,0,0,0
963388,"113.582784,22.854035",东莞,0,0,0
961774,"113.587672,22.849536",东莞,0,0,0
963389,"113.587672,22.854035",东莞,0,0,0
965002,"113.577895,22.858535",东莞,0,0,0
966617,"113.577895,22.863035",东莞,0,0,0
968232,"113.577895,22.867534",东莞,181,754,377
969847,"113.577895,22.872034",东莞,0,0,0
965003,"113.582784,22.858535",东莞,0,0,0
966618,"113.582784,22.863035",东莞,0,0,0
965004,"113.587672,22.858535",东莞,0,0,0
966619,"113.587672,22.863035",东莞,293,2490,709
968233,"113.582784,22.867534",东莞,0,8,3
969848,"113.582784,22.872034",东莞,0,0,0
968234,"113.587672,22.867534",东莞,0,0,0
969849,"113.587672,22.872034",东莞,0,0,0
958545,"113.59256,22.840536",东莞,216,436,116
960160,"113.59256,22.845036",东莞,0,0,0
958546,"113.597448,22.840536",东莞,0,0,0
960161,"113.597448,22.845036",东莞,0,0,0
961775,"113.59256,22.849536",东莞,0,0,0
963390,"113.59256,22.854035",东莞,49,204,65
961776,"113.597448,22.849536",东莞,0,0,0
963391,"113.597448,22.854035",东莞,0,0,0
958547,"113.602336,22.840536",东莞,0,0,0
960162,"113.602336,22.845036",东莞,0,0,0
961777,"113.602336,22.849536",东莞,858,395,241
963392,"113.602336,22.854035",东莞,0,0,0
965005,"113.59256,22.858535",东莞,0,0,0
966620,"113.59256,22.863035",东莞,0,0,0
965006,"113.597448,22.858535",东莞,0,0,0
966621,"113.597448,22.863035",东莞,0,0,0
968235,"113.59256,22.867534",东莞,0,0,0
969850,"113.59256,22.872034",东莞,0,0,0
968236,"113.597448,22.867534",东莞,0,0,0
969851,"113.597448,22.872034",东莞,0,0,0
